KEY,+[eE],+[uU],+[iI],+[aA],+[iI][eE],_,+[oO],+[oO][aA],+[uU][eE],+[uU][uU],+[uU][iI],+[uU][aA],+[uU][iI][eE],+Y
h,ሀ,ሁ,ሂ,ሃ,ሄ,ህ,ሆ,ሇ,ኈ,ኍ,ኊ,ኋ,ኌ, 
[lL],ለ,ሉ,ሊ,ላ,ሌ,ል,ሎ,ⶀ, , , ,ሏ, , 
H,ሐ,ሑ,ሒ,ሓ,ሔ,ሕ,ሖ, , , , ,ሗ, , 
[mM],መ,ሙ,ሚ,ማ,ሜ,ም,ሞ,ⶁ,ᎀ,ᎃ,ᎁ,ሟ,ᎂ,ፙ
ss,ሠ,ሡ,ሢ,ሣ,ሤ,ሥ,ሦ, , , , ,ሧ, , 
[rR],ረ,ሩ,ሪ,ራ,ሬ,ር,ሮ,ⶂ, , , ,ሯ, ,ፘ
s,ሰ,ሱ,ሲ,ሳ,ሴ,ስ,ሶ,ⶃ, , , ,ሷ, , 
[xX],ሸ,ሹ,ሺ,ሻ,ሼ,ሽ,ሾ,ⶄ, , , ,ሿ, , 
[xX][xX],ⶠ,ⶡ,ⶢ,ⶣ,ⶤ,ⶥ,ⶦ, , , , , , , 
q,ቀ,ቁ,ቂ,ቃ,ቄ,ቅ,ቆ,ቇ,ቈ,ቍ,ቊ,ቋ,ቌ, 
Q,ቐ,ቑ,ቒ,ቓ,ቔ,ቕ,ቖ, ,ቘ,ቝ,ቚ,ቛ,ቜ, 
qY,ⷀ,ⷁ,ⷂ,ⷃ,ⷄ,ⷅ,ⷆ, , , , , , , 
[bB],በ,ቡ,ቢ,ባ,ቤ,ብ,ቦ,ⶅ,ᎄ,ᎇ,ᎅ,ቧ,ᎆ, 
[vV],ቨ,ቩ,ቪ,ቫ,ቬ,ቭ,ቮ, , , , ,ቯ, , 
t,ተ,ቱ,ቲ,ታ,ቴ,ት,ቶ,ⶆ, , , ,ቷ, , 
c,ቸ,ቹ,ቺ,ቻ,ቼ,ች,ቾ,ⶇ, , , ,ቿ, , 
cc,ⶨ,ⶩ,ⶪ,ⶫ,ⶬ,ⶭ,ⶮ, , , , , , , 
hh,ኀ,ኁ,ኂ,ኃ,ኄ,ኅ,ኆ,ኇ,ኈ,ኍ,ኊ,ኋ,ኌ, 
n,ነ,ኑ,ኒ,ና,ኔ,ን,ኖ,ⶈ, , , ,ኗ, , 
N,ኘ,ኙ,ኚ,ኛ,ኜ,ኝ,ኞ,ⶉ, , , ,ኟ, , 
a,አ,ኡ,ኢ,ኣ,ኤ,እ,ኦ,ⶊ, , , , , , 
[kK],ከ,ኩ,ኪ,ካ,ኬ,ክ,ኮ,ኯ,ኰ,ኵ,ኲ,ኳ,ኴ, 
kY,ⷈ,ⷉ,ⷊ,ⷋ,ⷌ,ⷍ,ⷎ, , , , , , , 
KY,ⷐ,ⷑ,ⷒ,ⷓ,ⷔ,ⷕ,ⷖ, , , , , , , 
[wW],ወ,ዉ,ዊ,ዋ,ዌ,ው,ዎ,ዏ, , , , , , 
A,ዕ,ዑ,ዒ,ዓ,ዔ,ዐ,ዖ, , , , , , , 
z,ዘ,ዙ,ዚ,ዛ,ዜ,ዝ,ዞ,ⶋ, , , ,ዟ, , 
Z,ዠ,ዡ,ዢ,ዣ,ዤ,ዥ,ዦ, , , , ,ዧ, , 
ZZ,ⶰ,ⶱ,ⶲ,ⶳ,ⶴ,ⶵ,ⶶ, , , , , , , 
[yY],የ,ዩ,ዪ,ያ,ዬ,ይ,ዮ,ዯ, , , , , , 
d,ደ,ዱ,ዲ,ዳ,ዴ,ድ,ዶ,ⶌ, , , ,ዷ, , 
D,ዸ,ዹ,ዺ,ዻ,ዼ,ዽ,ዾ,ⶍ, , , ,ዿ, , 
[jJ],ጀ,ጁ,ጂ,ጃ,ጄ,ጅ,ጆ,ⶎ, , , ,ጇ, , 
g,ገ,ጉ,ጊ,ጋ,ጌ,ግ,ጎ,ጏ,ጐ,ጕ,ጒ,ጓ,ጔ, 
G,ጘ,ጙ,ጚ,ጛ,ጜ,ጝ,ጞ, ,ⶓ,ⶖ,ⶔ,ጟ,ⶕ, 
gY,ⷘ,ⷙ,ⷚ,ⷛ,ⷜ,ⷝ,ⷞ, , , , , , , 
T,ጠ,ጡ,ጢ,ጣ,ጤ,ጥ,ጦ,ⶏ, , , ,ጧ, , 
C,ጨ,ጩ,ጪ,ጫ,ጬ,ጭ,ጮ,ⶐ, , , ,ጯ, , 
CC,ⶸ,ⶹ,ⶺ,ⶻ,ⶼ,ⶽ,ⶾ, , , , , , , 
P,ጰ,ጱ,ጲ,ጳ,ጴ,ጵ,ጶ,ⶑ, , , ,ጷ, , 
S,ጸ,ጹ,ጺ,ጻ,ጼ,ጽ,ጾ, , , , ,ጿ, , 
SS,ፀ,ፁ,ፂ,ፃ,ፄ,ፅ,ፆ,ፇ, , , , , , 
[fF],ፈ,ፉ,ፊ,ፋ,ፌ,ፍ,ፎ, ,ᎈ,ᎉ,ᎋ,ፏ,ᎊ,ፚ
p,ፐ,ፑ,ፒ,ፓ,ፔ,ፕ,ፖ,ⶒ,ᎌ,ᎍ,ᎏ,ፗ,ᎎ, 
ae,ኧ, ,,,,,,,,,,,,
e,,,,,,እ,,,,,,,
i,ኤ,,,,,ኢ,,,,,,,
o,,,,,,ኦ,,,,,,,
u,,,,,,ኡ,,,,,,,
E,,,,,,ዕ,,,,,,,
I,ዔ,,,,,ዒ,,,,,,,
O,,,,,,ዖ,,,,,,,
U,,,,,,ዑ,,,,,,,
